Systematic Name,Standard Name,Qualifier
YBR008C,FLR1,Verified
YBR009C,HHF1,Verified
YBR010W,HHT1,Verified
YBR011C,IPP1,Verified
YBR012C,,Dubious
YBR013C,,Uncharacterized
YBR014C,GRX7,Verified
YBR015C,MNN2,Verified
YBR016W,,Verified
YBR017C,KAP104,Verified
YBR018C,GAL7,Verified
YBR019C,GAL10,Verified
YBR020W,GAL1,Verified
YBR021W,FUR4,Verified
YBR022W,POA1,Verified
YBR023C,CHS3,Verified
YBR024W,SCO2,Verified
YBR025C,OLA1,Verified
YBR026C,ETR1,Verified
YBR027C,,Uncharacterized
YBR028C,YPK3,Verified
YBR029C,CDS1,Verified
YBR030W,RKM3,Verified
YBR031W,RPL4A,Verified
YBR032W,,Uncharacterized
YBR033W,EDS1,Uncharacterized
YBR034C,HMT1,Verified
YBR035C,PDX3,Verified
YBR036C,CSG2,Verified
YBR037C,SCO1,Verified
YBR038W,CHS2,Verified
YBR039W,ATP3,Verified
YBR040W,FIG1,Verified
YBR041W,FAT1,Verified
YBR042C,CST26,Verified
YBR043C,QDR3,Verified
YBR044C,TCM62,Verified
YBR045C,GIP1,Verified
YBR046C,ZTA1,Verified
YBR047W,FMP23,Uncharacterized
YBR048W,RPS11B,Verified
YBR049C,REB1,Verified
YBR050C,REG2,Verified
YBR051W,,Dubious
YBR052C,RFS1,Verified
YBR053C,,Uncharacterized
YBR054W,YRO2,Verified
YBR055C,PRP6,Verified
YBR056W,,Verified
YBR057C,MUM2,Verified
YBR058C,UBP14,Verified
YBR059C,AKL1,Verified
YBR060C,ORC2,Verified
YBR061C,TRM7,Verified
YBR062C,,Uncharacterized
YBR063C,,Uncharacterized
YBR064W,,Dubious
YBR065C,ECM2,Verified
YBR066C,NRG2,Verified
YBR067C,TIP1,Verified
YBR068C,BAP2,Verified
YBR069C,TAT1,Verified
YBR070C,ALG14,Verified
YBR071W,,Verified
YBR072W,HSP26,Verified
YBR073W,RDH54,Verified
YBR074W,PFF1,Verified
YBR076W,ECM8,Verified
YBR077C,SLM4,Verified
YBR078W,ECM33,Verified
YBR079C,RPG1,Verified
YBR080C,SEC18,Verified
YBR081C,SPT7,Verified
YBR082C,UBC4,Verified
YBR083W,TEC1,Verified
YBR084W,MIS1,Verified
YBR085W,AAC3,Verified
YBR086C,IST2,Verified
YBR087W,RFC5,Verified
YBR088C,POL30,Verified
YBR089W,,Dubious
YBR090C,,Uncharacterized
YBR091C,TIM12,Verified
YBR092C,PHO3,Verified
YBR093C,PHO5,Verified
YBR094W,PBY1,Verified
YBR095C,RXT2,Verified
YBR096W,,Uncharacterized
YBR097W,VPS15,Verified
YBR098W,MMS4,Verified
YBR099C,,Dubious
YBR101C,FES1,Verified
YBR102C,EXO84,Verified
YBR103W,SIF2,Verified
YBR104W,YMC2,Verified
YBR105C,VID24,Verified
YBR106W,PHO88,Verified
YBR107C,IML3,Verified
YBR108W,AIM3,Verified
YBR109C,CMD1,Verified
YBR110W,ALG1,Verified
YBR111C,YSA1,Verified
YBR112C,CYC8,Verified
YBR113W,,Dubious
YBR114W,RAD16,Verified
YBR115C,LYS2,Verified
YBR116C,,Dubious
YBR117C,TKL2,Verified
YBR118W,TEF2,Verified
YBR119W,MUD1,Verified
YBR120C,CBP6,Verified
YBR121C,GRS1,Verified
YBR122C,MRPL36,Verified
YBR123C,TFC1,Verified
YBR124W,,Dubious
YBR125C,PTC4,Verified
YBR126C,TPS1,Verified
YBR127C,VMA2,Verified
YBR128C,ATG14,Verified
YBR129C,OPY1,Verified
YBR130C,SHE3,Verified
YBR131W,CCZ1,Verified
YBR132C,AGP2,Verified
YBR133C,HSL7,Verified
YBR134W,,Dubious
YBR135W,CKS1,Verified
YBR136W,MEC1,Verified
YBR137W,,Verified
YBR138C,,Uncharacterized
YBR139W,,Verified
YBR140C,IRA1,Verified
YBR141C,BMT2,Verified
YBR142W,MAK5,Verified
YBR143C,SUP45,Verified
YBR144C,,Dubious
YBR145W,ADH5,Verified
YBR146W,MRPS9,Verified
YBR147W,RTC2,Verified
YBR148W,YSW1,Verified
YBR149W,ARA1,Verified
YBR150C,TBS1,Verified
YBR151W,APD1,Verified
YBR152W,SPP381,Verified
YBR153W,RIB7,Verified
YBR154C,RPB5,Verified
YBR155W,CNS1,Verified
YBR156C,SLI15,Verified
YBR157C,ICS2,Verified
YBR158W,AMN1,Verified
YBR159W,IFA38,Verified
YBR160W,CDC28,Verified
YBR161W,CSH1,Verified
YBR162C,TOS1,Verified
YBR163W,EXO5,Verified
YBR164C,ARL1,Verified
YBR165W,UBS1,Verified
YBR166C,TYR1,Verified
YBR167C,POP7,Verified
YBR168W,PEX32,Verified
YBR169C,SSE2,Verified
YBR170C,NPL4,Verified
YBR171W,SEC66,Verified
YBR172C,SMY2,Verified
YBR173C,UMP1,Verified
YBR174C,,Dubious
YBR175W,SWD3,Verified
YBR176W,ECM31,Verified
YBR177C,EHT1,Verified
YBR178W,,Dubious
YBR179C,FZO1,Verified
YBR180W,DTR1,Verified
YBR181C,RPS6B,Verified
YBR182C,SMP1,Verified
YBR183W,YPC1,Verified
YBR184W,,Uncharacterized
YBR185C,MBA1,Verified
YBR186W,PCH2,Verified
YBR187W,GDT1,Verified
YBR188C,NTC20,Verified
YBR189W,RPS9B,Verified
YBR190W,,Dubious
YBR191W,RPL21A,Verified
YBR192W,RIM2,Verified
YBR193C,MED8,Verified
YBR194W,AIM4,Verified
YBR195C,MSI1,Verified
YBR196C,PGI1,Verified
YBR197C,,Verified
YBR198C,TAF5,Verified
YBR199W,KTR4,Verified
YBR200W,BEM1,Verified
YBR201W,DER1,Verified
YBR202W,MCM7,Verified
YBR203W,COS111,Verified
YBR204C,LDH1,Verified
YBR205W,KTR3,Verified
YBR206W,,Dubious
YBR207W,FTH1,Verified
YBR208C,"DUR1,2",Verified
YBR209W,,Dubious
YBR210W,ERV15,Verified
YBR211C,AME1,Verified
YBR212W,NGR1,Verified
YBR213W,MET8,Verified
YBR214W,SDS24,Verified
YBR215W,HPC2,Verified
YBR216C,YBP1,Verified
YBR217W,ATG12,Verified
YBR218C,PYC2,Verified
YBR219C,,Uncharacterized
YBR220C,,Uncharacterized
YBR221C,PDB1,Verified
YBR222C,PCS60,Verified
YBR223C,TDP1,Verified
YBR224W,,Dubious
YBR225W,,Uncharacterized
YBR226C,,Dubious
YBR227C,MCX1,Verified
YBR228W,SLX1,Verified
YBR229C,ROT2,Verified
YBR230C,OM14,Verified
YBR231C,SWC5,Verified
YBR232C,,Dubious
YBR233W,PBP2,Verified
YBR234C,ARC40,Verified
YBR235W,VHC1,Verified
YBR236C,ABD1,Verified
YBR237W,PRP5,Verified
YBR238C,,Verified
YBR239C,ERT1,Verified
YBR240C,THI2,Verified
YBR241C,,Uncharacterized
YBR242W,,Uncharacterized
YBR243C,ALG7,Verified
YBR244W,GPX2,Verified
YBR245C,ISW1,Verified
YBR246W,RRT2,Verified
YBR247C,ENP1,Verified
YBR248C,HIS7,Verified
YBR249C,ARO4,Verified
YBR250W,SPO23,Verified
YBR251W,MRPS5,Verified
YBR252W,DUT1,Verified
YBR253W,SRB6,Verified
YBR254C,TRS20,Verified
YBR255W,MTC4,Verified
YBR256C,RIB5,Verified
YBR257W,POP4,Verified
YBR258C,SHG1,Verified
YBR259W,,Verified
YBR260C,RGD1,Verified
YBR261C,TAE1,Verified
YBR262C,MIC12,Verified
YBR263W,SHM1,Verified
YBR264C,YPT10,Verified
YBR265W,TSC10,Verified
YBR266C,SLM6,Dubious
YBR267W,REI1,Verified
YBR268W,MRPL37,Verified
YBR269C,SDH8,Verified
YBR270C,BIT2,Verified
YBR271W,EFM2,Verified
YBR272C,HSM3,Verified
YBR273C,UBX7,Verified
YBR274W,CHK1,Verified
YBR275C,RIF1,Verified
YBR276C,PPS1,Verified
YBR277C,,Dubious
YBR278W,DPB3,Verified
YBR279W,PAF1,Verified
YBR280C,SAF1,Verified
YBR281C,DUG2,Verified
YBR282W,MRPL27,Verified
YBR283C,SSH1,Verified
YBR284W,,Uncharacterized
YBR285W,,Uncharacterized
YBR286W,APE3,Verified
YBR287W,,Uncharacterized
YBR288C,APM3,Verified
YBR289W,SNF5,Verified
YBR290W,BSD2,Verified
YBR291C,CTP1,Verified
YBR292C,,Dubious
YBR293W,VBA2,Verified
YBR294W,SUL1,Verified
YBR295W,PCA1,Verified
YBR296C,PHO89,Verified
YBR297W,MAL33,Verified
YBR298C,MAL31,Verified
YBR299W,MAL32,Verified
YBR300C,,Dubious
YBR301W,PAU24,Verified
YBR302C,COS2,Verified
YCL001W,RER1,Verified
YCL002C,,Uncharacterized
YCL004W,PGS1,Verified
YCL005W,LDB16,Verified
YCL007C,,Dubious
YCL008C,STP22,Verified
YCL009C,ILV6,Verified
YCL010C,SGF29,Verified
YCL011C,GBP2,Verified
YCL014W,BUD3,Verified
YCL016C,DCC1,Verified
YCL017C,NFS1,Verified
YCL018W,LEU2,Verified
YCL022C,,Dubious
YCL023C,,Dubious
YCL024W,KCC4,Verified
YCL025C,AGP1,Verified
YCL027W,FUS1,Verified
YCL028W,RNQ1,Verified
YCL029C,BIK1,Verified
YCL030C,HIS4,Verified
YCL031C,RRP7,Verified
YCL032W,STE50,Verified
YCL033C,MXR2,Verified
YCL034W,LSB5,Verified
YCL035C,GRX1,Verified
YCL036W,GFD2,Verified
YCL037C,SRO9,Verified
YCL038C,ATG22,Verified
YCL039W,GID7,Verified
YCL040W,GLK1,Verified
YCL041C,,Dubious
YCL042W,,Uncharacterized
YCL043C,PDI1,Verified
YCL044C,MGR1,Verified
YCL045C,EMC1,Verified
YCL046W,,Dubious
YCL047C,POF1,Verified
YCL048W,SPS22,Verified
YCL049C,,Uncharacterized
YCL050C,APA1,Verified
YCL051W,LRE1,Verified
YCL052C,PBN1,Verified
YCL054W,SPB1,Verified
YCL055W,KAR4,Verified
YCL056C,PEX34,Verified
YCL057W,PRD1,Verified
YCL058C,FYV5,Verified
YCL059C,KRR1,Verified
YCL061C,MRC1,Verified
YCL063W,VAC17,Verified
YCL064C,CHA1,Verified
YCL065W,,Dubious
YCL066W,HMLALPHA1,Verified
YCL067C,HMLALPHA2,Verified
YCL068C,,Uncharacterized
YCL069W,VBA3,Verified
YCL073C,GEX1,Verified
YCL076W,,Dubious
YCL026C-A,FRM2,Verified
YCR001W,,Uncharacterized
YCR002C,CDC10,Verified
YCR003W,MRPL32,Verified
YCR004C,YCP4,Verified
YCR005C,CIT2,Verified
YCR006C,,Uncharacterized
YCR007C,,Uncharacterized
YCR008W,SAT4,Verified
YCR009C,RVS161,Verified
YCR010C,ADY2,Verified
YCR011C,ADP1,Verified
YCR012W,PGK1,Verified
YCR013C,,Dubious
YCR014C,POL4,Verified
YCR015C,CTO1,Verified
YCR016W,,Uncharacterized
YCR017C,CWH43,Verified
YCR018C,SRD1,Verified
YCR019W,MAK32,Verified
YCR020C,PET18,Verified
YCR020C-A,MAK31,Verified
YCR021C,HSP30,Verified
YCR022C,,Uncharacterized
YCR023C,,Verified
YCR024C,SLM5,Verified
YCR024C-A,PMP1,Verified
YCR025C,,Dubious
YCR026C,NPP1,Verified
YCR027C,RHB1,Verified
YCR028C,FEN2,Verified
YCR030C,SYP1,Verified
YCR031C,RPS14A,Verified
YCR032W,BPH1,Verified
YCR033W,SNT1,Verified
YCR034W,ELO2,Verified
YCR035C,RRP43,Verified
YCR036W,RBK1,Verified
YCR037C,PHO87,Verified
YCR038C,BUD5,Verified
YCR039C,MATALPHA2,Verified
YCR040W,MATALPHA1,Verified
YCR041W,,Verified
YCR042C,TAF2,Verified
YCR043C,,Uncharacterized
YCR044C,PER1,Verified
YCR045C,RRT12,Verified
YCR046C,IMG1,Verified
YCR047C,BUD23,Verified
YCR048W,ARE1,Verified
YCR049C,,Dubious
YCR050C,,Uncharacterized
YCR051W,,Uncharacterized
YCR052W,RSC6,Verified
YCR053W,THR4,Verified
YCR054C,CTR86,Verified
YCR057C,PWP2,Verified
YCR059C,YIH1,Verified
YCR060W,TAH1,Verified
YCR061W,,Uncharacterized
YCR063W,BUD31,Verified
YCR064C,,Dubious
YCR065W,HCM1,Verified
YCR066W,RAD18,Verified
YCR067C,SED4,Verified
YCR068W,ATG15,Verified
YCR069W,CPR4,Verified
YCR071C,IMG2,Verified
YCR072C,RSA4,Verified
YCR073C,SSK22,Verified
YCR075C,ERS1,Verified
YCR076C,FUB1,Verified
YCR077C,PAT1,Verified
YCR081W,SRB8,Verified
YCR082W,AHC2,Verified
YCR083W,TRX3,Verified
YCR084C,TUP1,Verified
YCR085W,,Uncharacterized
YCR086W,CSM1,Verified
YCR087W,,Dubious
YCR088W,ABP1,Verified
YCR089W,FIG2,Verified
YCR090C,,Uncharacterized
YCR091W,KIN82,Verified
YCR092C,MSH3,Verified
YCR093W,CDC39,Verified
YCR094W,CDC50,Verified
YCR095C,OCA4,Uncharacterized
YCR096C,HMRA2,Verified
YCR097W,HMRA1,Verified
YCR098C,GIT1,Verified
YCR099C,,Uncharacterized
YCR100C,,Uncharacterized
YCR101C,,Uncharacterized
YCR102C,,Uncharacterized
YCR104W,PAU3,Verified
YCR105W,ADH7,Verified
YCR106W,RDS1,Verified
YCR107W,AAD3,Verified
YCR073W-A,SOL2,Verified
YEL001C,IRC22,Verified
YEL002C,WBP1,Verified
YEL003W,GIM4,Verified
YEL004W,YEA4,Verified
YEL005C,VAB2,Verified
YEL006W,YEA6,Verified
YEL007W,MIT1,Verified
YEL008W,,Uncharacterized
YEL009C,GCN4,Verified
YEL010W,,Dubious
YEL011W,GLC3,Verified
YEL012W,UBC8,Verified
YEL013W,VAC8,Verified
YEL014C,,Dubious
YEL015W,EDC3,Verified
YEL016C,NPP2,Verified
YEL017W,GTT3,Verified
YEL018W,EAF5,Verified
YEL019C,MMS21,Verified
YEL020C,PXP1,Verified
YEL021W,URA3,Verified
YEL022W,GEA2,Verified
YEL023C,,Uncharacterized
YEL024W,RIP1,Verified
YEL025C,,Uncharacterized
YEL026W,SNU13,Verified
YEL027W,VMA3,Verified
YEL028W,,Uncharacterized
YEL029C,BUD16,Verified
YEL030W,ECM10,Verified
YEL031W,SPF1,Verified
YEL032W,MCM3,Verified
YEL033W,MTC7,Uncharacterized
YEL034W,HYP2,Verified
YEL035C,UTR5,Uncharacterized
YEL036C,ANP1,Verified
YEL037C,RAD23,Verified
YEL038W,UTR4,Verified
YEL039C,CYC7,Verified
YEL040W,UTR2,Verified
YEL041W,YEF1,Verified
YEL042W,GDA1,Verified
YEL043W,,Verified
YEL044W,IES6,Verified
YEL045C,,Dubious
YEL046C,GLY1,Verified
YEL047C,FRD1,Verified
YEL048C,TCA17,Verified
YEL049W,PAU2,Verified
YEL050C,RML2,Verified
YEL051W,VMA8,Verified
YEL052W,AFG1,Verified
YEL053C,MAK10,Verified
YEL054C,RPL12A,Verified
YEL055C,POL5,Verified
YEL056W,HAT2,Verified
YEL057C,SDD1,Verified
YEL058W,PCM1,Verified
YEL059W,HHY1,Dubious
YEL060C,PRB1,Verified
YEL061C,CIN8,Verified
YEL062W,NPR2,Verified
YEL063C,CAN1,Verified
YEL064C,AVT2,Verified
YEL065W,SIT1,Verified
YEL066W,HPA3,Verified
YEL067C,,Uncharacterized
YEL068C,,Uncharacterized
YEL069C,HXT13,Verified
YEL070W,DSF1,Verified
YEL071W,DLD3,Verified
YEL072W,RMD6,Verified
YEL073C,,Uncharacterized
YEL074W,,Dubious
YEL075C,,Uncharacterized
YEL076C,,Uncharacterized
YER001W,MNN1,Verified
YER002W,NOP16,Verified
YER003C,PMI40,Verified
YER004W,FMP52,Verified
YER005W,YND1,Verified
YER006W,NUG1,Verified
YER007W,PAC2,Verified
YER008C,SEC3,Verified
YER009W,NTF2,Verified
YER010C,,Verified
YER011W,TIR1,Verified
YER012W,PRE1,Verified
YER013W,PRP22,Verified
YER014W,HEM14,Verified
YER015W,FAA2,Verified
YER016W,BIM1,Verified
YER017C,AFG3,Verified
YER018C,SPC25,Verified
YER019W,ISC1,Verified
YER020W,GPA2,Verified
YER021W,RPN3,Verified
YER022W,SRB4,Verified
YER023W,PRO3,Verified
YER024W,YAT2,Verified
YER025W,GCD11,Verified
YER026C,CHO1,Verified
YER027C,GAL83,Verified
YER028C,MIG3,Verified
YER029C,SMB1,Verified
YER030W,CHZ1,Verified
YER031C,YPT31,Verified
YER032W,FIR1,Verified
YER033C,ZRG8,Verified
YER034W,,Verified
YER035W,EDC2,Verified
YER036C,ARB1,Verified
YER037W,PHM8,Verified
YER038C,KRE29,Verified
YER039C,HVG1,Verified
YER040W,GLN3,Verified
YER041W,YEN1,Verified
YER042W,MXR1,Verified
YER043C,SAH1,Verified
YER044C,ERG28,Verified
YER045C,ACA1,Verified
YER046W,SPO73,Verified
YER047C,SAP1,Verified
YER048C,CAJ1,Verified
YER049W,TPA1,Verified
YER050C,RSM18,Verified
YER051W,JHD1,Verified
YER052C,HOM3,Verified
YER053C,PIC2,Verified
YER054C,GIP2,Verified
YER055C,HIS1,Verified
YER056C,FCY2,Verified
YER057C,HMF1,Verified
YER058W,PET117,Verified
YER059W,PCL6,Verified
YER060W,FCY21,Verified
YER061C,CEM1,Verified
YER062C,GPP2,Verified
YER063W,THO1,Verified
YER064C,VHR2,Verified
YER065C,ICL1,Verified
YER066W,RRT13,Uncharacterized
YER067W,RGI1,Verified
YER068W,MOT2,Verified
YER069W,"ARG5,6",Verified
YER070W,RNR1,Verified
YER071C,TDA2,Uncharacterized
YER072W,VTC1,Verified
YER073W,ALD5,Verified
YER074W,RPS24A,Verified
YER075C,PTP3,Verified
YER076C,,Uncharacterized
YER077C,MRX1,Uncharacterized
YER078C,ICP55,Verified
YER079W,,Uncharacterized
YER080W,AIM9,Verified
YER081W,SER3,Verified
YER082C,UTP7,Verified
YER083C,GET2,Verified
YER084W,,Uncharacterized
YER085C,,Uncharacterized
YER086W,ILV1,Verified
YER087W,AIM10,Verified
YER088C,DOT6,Verified
YER089C,PTC2,Verified
YER090W,TRP2,Verified
YER091C,MET6,Verified
YER092W,IES5,Verified
YER093C,TSC11,Verified
YER094C,PUP3,Verified
YER095W,RAD51,Verified
YER096W,SHC1,Verified
YER097W,,Dubious
YER098W,UBP9,Verified
YER099C,PRS2,Verified
YER100W,UBC6,Verified
YER101C,AST2,Verified
YER102W,RPS8B,Verified
YER103W,SSA4,Verified
YER104W,RTT105,Verified
YER105C,NUP157,Verified
YER106W,MAM1,Verified
YER107C,GLE2,Verified
YER110C,KAP123,Verified
YER111C,SWI4,Verified
YER112W,LSM4,Verified
YER113C,TMN3,Verified
YER114C,BOI2,Verified
YER115C,SPR6,Verified
YER116C,SLX8,Verified
YER117W,RPL23B,Verified
YER118C,SHO1,Verified
YER119C,AVT6,Verified
YER120W,SCS2,Verified
YER121W,,Uncharacterized
YER122C,GLO3,Verified
YER123W,YCK3,Verified
YER124C,DSE1,Verified
YER125W,RSP5,Verified
YER126C,NSA2,Verified
YER127W,LCP5,Verified
YER128W,VFA1,Verified
YER129W,SAK1,Verified
YER130C,COM2,Verified
YER131W,RPS26B,Verified
YER132C,PMD1,Verified
YER133W,GLC7,Verified
YER134C,,Verified
YER135C,,Uncharacterized
YER136W,GDI1,Verified
YER137C,,Uncharacterized
YER139C,RTR1,Verified
YER140W,EMP65,Verified
YER141W,COX15,Verified
YER142C,MAG1,Verified
YER143W,DDI1,Verified
YER144C,UBP5,Verified
YER145C,FTR1,Verified
YER146W,LSM5,Verified
YER147C,SCC4,Verified
YER148W,SPT15,Verified
YER149C,PEA2,Verified
YER150W,SPI1,Verified
YER151C,UBP3,Verified
YER152C,,Verified
YER153C,PET122,Verified
YER154W,OXA1,Verified
YER155C,BEM2,Verified
YER156C,,Uncharacterized
YER157W,COG3,Verified
YER158C,,Uncharacterized
YER159C,BUR6,Verified
YER161C,SPT2,Verified
YER162C,RAD4,Verified
YER163C,GCG1,Verified
YER164W,CHD1,Verified
YER165W,PAB1,Verified
YER166W,DNF1,Verified
YER167W,BCK2,Verified
YER168C,CCA1,Verified
YER169W,RPH1,Verified
YER170W,ADK2,Verified
YER171W,RAD3,Verified
YER172C,BRR2,Verified
YER173W,RAD24,Verified
YER174C,GRX4,Verified
YER175C,TMT1,Verified
YER176W,ECM32,Verified
YER177W,BMH1,Verified
YER178W,PDA1,Verified
YER179W,DMC1,Verified
YER180C,ISC10,Verified
YER181C,,Verified
YER182W,FMP10,Uncharacterized
YER183C,FAU1,Verified
YER184C,TOG1,Verified
YER185W,PUG1,Verified
YER186C,,Uncharacterized
YER187W,,Uncharacterized
YER188W,,Dubious
YER189W,,Uncharacterized
YER190W,YRF1-2,Verified
YHL001W,RPL14B,Verified
YHL002W,HSE1,Verified
YHL003C,LAG1,Verified
YHL004W,MRP4,Verified
YHL005C,,Uncharacterized
YHL006C,SHU1,Verified
YHL007C,STE20,Verified
YHL008C,,Uncharacterized
YHL009C,YAP3,Verified
YHL010C,ETP1,Verified
YHL011C,PRS3,Verified
YHL012W,,Uncharacterized
YHL013C,OTU2,Verified
YHL014C,YLF2,Verified
YHL015W,RPS20,Verified
YHL016C,DUR3,Verified
YHL017W,,Uncharacterized
YHL018W,,Uncharacterized
YHL019C,APM2,Verified
YHL020C,OPI1,Verified
YHL021C,AIM17,Verified
YHL022C,SPO11,Verified
YHL023C,NPR3,Verified
YHL024W,RIM4,Verified
YHL025W,SNF6,Verified
YHL026C,,Uncharacterized
YHL027W,RIM101,Verified
YHL028W,WSC4,Verified
YHL029C,OCA5,Uncharacterized
YHL030W,ECM29,Verified
YHL031C,GOS1,Verified
YHL032C,GUT1,Verified
YHL033C,RPL8A,Verified
YHL034C,SBP1,Verified
YHL035C,VMR1,Verified
YHL036W,MUP3,Verified
YHL037C,,Dubious
YHL038C,CBP2,Verified
YHL039W,EFM1,Verified
