Accession,Peptides used for quantitation,BY,BY 2,RM,RM 2,7.3.d,11.2.d,7.8.d,4.4.d,6.4.d,3.4.d,9.6.d,2.4.a,23.5.d,18.1.d,20.1.d,8.2.d,17.2.d,1.3.d,1.1.d,14.2.c
YBR061C,1,-0.052403857,0.062926059,-1.219546785,-1.147750784,-0.626324564,-0.458794652,0.280036888,-1.383784418,-0.156394716,0.168328239,-0.244812368,0.632196506,-0.220449742,-0.079521409,-0.964106115,-0.310752382,-0.757801725,0.281188404,-0.344009055,0.024449596
YBR082C,1,-3.449892409,-4.791807182,-0.232111888,-0.298285346,-1.71034493,-2.414693318,-5.096307267,-0.034029602,-4.464099767,-1.493192506,-2.821673258,-4.239705356,-3.930292578,-4.220677414,-0.58129197,-5.428305003,-2.759425129,-3.66054519,-2.66110348,-3.844979203
YBR091C,1,-2.97598223,-4.772196649,-3.632217707,-3.091229316,-5.026798954,-2.415061601,-11.35130539,-3.913969328,-2.831131641,-7.008301696,-2.710633346,-9.045251286,-2.391938289,-2.197472947,-3.374280046,-1.829786472,-1.164672556,-2.53734587,-5.19208231,-2.358575063
YBR128C,1,1.285138809,1.367866123,-2.910776983,-2.823730707,0.426651437,0.546327301,0.912911834,-0.482799354,0.926904747,0.249504116,0.669517542,0.616358704,0.549259303,1.004664485,0.158829098,0.603424743,1.300007823,0.758806415,0.792372062,0.265637531
YBR137W,1,1.110221143,1.275697241,0.648769452,0.952933555,1.263212989,0.942211045,1.06454731,0.504037984,1.544619989,1.00772921,1.52771712,0.903324484,1.022290977,1.155776288,0.897787696,0.753038283,0.756138766,0.548487377,1.305075198,0.53583387
YBR146W,1,-2.382977392,-2.350810545,-2.817147353,-2.69425735,-2.912557919,-2.807725722,-2.47904917,-2.550462173,-1.488508415,-3.65183881,-2.478211676,-2.781003277,-1.275543193,-1.880195943,-1.8884961,-0.990737913,-2.650273273,-0.982294013,-2.156643059,-1.083861693
YBR151W,1,-1.345781029,-1.51647984,-1.277112326,-1.416818893,-0.567060777,-1.411286984,-1.174284619,-1.645268472,-0.929694646,-0.886142524,-0.529513808,-3.411626727,-0.855934726,-1.162378037,-1.074441245,-1.039098996,-1.913275975,-2.075072936,-0.959863066,-1.340912234
YBR155W,1,-0.239079348,-0.344351965,-2.693273658,-2.660900054,-1.378575149,-1.182123177,-0.367866447,-2.702094731,-0.007890491,-1.610828948,-1.016196092,0.323183881,-1.097024928,-0.586411306,-1.829535877,-0.876443584,-0.929956381,-0.583205475,-1.281506964,-0.718222661
YBR167C,1,-0.599011333,-0.691414112,-3.271160712,-3.117348362,-1.801132205,-2.380044189,-1.702732216,-3.938938063,-2.274784711,-0.246657877,-2.808898705,-4.269640753,0.044548247,0.314154248,-2.862987762,-2.128747071,0.825378614,1.394175341,-1.762970175,-0.196808889
YBR192W,1,-1.524951874,-1.533436713,-1.662677129,-1.955116816,-2.00731146,-2.163184851,-2.117807955,-1.705775618,-2.241271751,-0.772921922,-1.763185576,-2.444569523,-1.189768643,-1.229112217,-1.664741971,-0.725710659,-1.352634099,-0.594268785,-1.730466297,-0.210077328
