Plate,Well,ID2,ID3,AVG Events,Events SD,AVG Mean,AVG SD,AVD Median
1,L5,YPR184W,96_wellF8,3918.33,402.44,7.90,4.10,7.17
1,L9,YGL150C,96_wellF9,4319.00,636.31,5.97,2.50,5.70
1,M1,YHR165C,96_wellG1,3373.67,360.71,4.47,2.33,4.17
1,M13,YBR208C,96_wellG4,2822.00,114.95,10.57,5.93,9.60
1,M17,YOR290C,96_wellG5,2754.00,143.43,5.07,2.27,4.83
1,M21,YJR140C,96_wellG6,3659.00,789.03,4.43,1.90,4.27
1,M5,YER155C,96_wellG2,2540.67,467.44,9.47,4.37,8.90
1,M9,YNL271C,96_wellG3,3143.67,72.25,5.33,2.73,5.00
1,N1,YJR138W,96_wellG7,2699.67,392.74,4.50,2.07,4.30
1,N13,YGR116W,96_wellG10,2878.67,479.61,18.90,7.40,18.10
1,N17,YPR189W,96_wellG11,2638.33,238.11,10.73,4.63,10.03
1,N21,YCR042C,96_wellG12,3242.33,638.53,3.73,1.97,3.47
1,N5,YGL173C,96_wellG8,2329.00,244.04,29.60,11.80,27.83
1,N9,YGL197W,96_wellG9,3626.67,307.06,5.00,2.63,4.70
1,O1,YIL129C,96_wellH1,2904.33,882.79,3.17,2.03,2.93
1,O13,YFL033C,96_wellH4,2297.67,226.90,4.33,2.90,3.97
1,O17,YDR141C,96_wellH5,3235.33,340.75,9.17,3.80,8.77
1,O21,YCL014W,96_wellH6,2547.00,860.16,5.83,2.73,5.60
1,O5,YER172C,96_wellH2,3001.33,160.79,4.27,2.00,3.97
1,O9,YLR422W,96_wellH3,2778.00,852.03,4.13,2.43,3.80
1,P1,YNR031C,96_wellH7,2427.33,146.07,4.97,2.30,4.70
1,P13,YMR190C,96_wellH10,3111.00,508.03,3.77,2.27,3.47
1,P17,YNL088W,96_wellH11,3076.33,522.99,7.07,3.63,6.70
1,P21,YGL131C,96_wellH12,2924.00,547.70,3.70,2.47,3.40
1,P5,YHR164C,96_wellH8,2862.33,408.20,4.27,2.60,4.00
1,P9,YKL010C,96_wellH9,3214.00,448.35,6.33,3.17,5.97
2,A1,YJL042W,96_wellA1,11672.00,881.55,7.20,3.73,6.57
2,A13,YDR159W,96_wellA4,11834.00,1706.12,5.20,2.57,4.80
2,A17,YPL137C,96_wellA5,12834.67,388.03,7.27,3.70,6.63
2,A21,YML081W,96_wellA6,11248.33,877.13,4.97,2.33,4.67
2,A5,YIL126W,96_wellA2,11090.33,1161.68,6.57,3.30,6.03
2,A9,YLR278C,96_wellA3,12977.67,3103.39,4.87,2.23,4.57
2,B1,YFR016C,96_wellA7,14199.33,2033.89,7.87,4.73,6.93
2,B13,YOR086C,96_wellA10,13776.67,591.90,14.63,7.10,13.83
2,B17,YJR041C,96_wellA11,13846.33,819.13,5.47,2.80,5.00
2,B21,YOR207C,96_wellA12,13762.33,554.56,5.47,3.07,4.93
2,B5,YDR335W,96_wellA8,16905.00,1498.51,5.87,3.03,5.37
2,B9,YML091C,96_wellA9,13360.67,1692.72,5.27,3.60,4.80
2,C1,YBR115C,96_wellB1,13189.00,1137.83,15.77,9.43,13.77
2,C13,YOR296W,96_wellB4,10115.67,1025.92,5.00,2.57,4.57
2,C17,YLR436C,96_wellB5,10067.33,606.87,5.63,3.37,5.13
2,C21,YDR293C,96_wellB6,7892.67,1568.35,15.63,9.20,13.67
2,C5,YDR227W,96_wellB2,14504.33,2968.30,4.93,2.83,4.40
2,C9,YOL138C,96_wellB3,11278.00,3615.93,4.80,2.53,4.40
2,D1,YJL074C,96_wellB7,11622.33,1088.38,5.47,2.97,5.00
2,D13,YNL106C,96_wellB10,13670.00,412.23,5.30,2.43,5.00
2,D17,YFR031C,96_wellB11,13803.67,4197.39,5.10,2.83,4.63
2,D21,YDR128W,96_wellB12,10056.00,958.61,4.80,2.60,4.43
2,D5,YOR151C,96_wellB8,16827.67,1091.00,19.03,8.73,17.90
2,D9,YLR189C,96_wellB9,9913.33,490.57,5.53,3.30,5.17
2,E1,YBL047C,96_wellC1,16734.33,3217.81,27.60,16.50,23.80
2,E13,YLR398C,96_wellC4,16112.00,2689.83,8.13,4.37,7.40
2,E17,YDL195W,96_wellC5,15417.67,1360.02,22.13,12.93,19.33
2,E21,YOR227W,96_wellC6,10716.67,3887.71,5.60,2.87,5.13
2,E5,YGR061C,96_wellC2,17492.33,2720.70,19.87,11.23,17.53
2,E9,YBR081C,96_wellC3,15768.67,557.60,5.33,2.80,4.87
2,F1,YMR304W,96_wellC7,17680.67,2103.30,7.13,3.93,6.40
2,F13,YBR218C,96_wellC10,12684.67,143.51,16.43,9.47,14.43
2,F17,YKL038W,96_wellC11,17580.00,3218.13,5.00,2.60,4.60
2,F21,YGR097W,96_wellC12,13250.67,1134.62,5.43,3.00,4.93
2,F5,YPL110C,96_wellC8,14908.00,1028.58,5.37,2.97,4.87
2,F9,YAR009C,96_wellC9,16084.00,1601.89,5.40,2.80,4.90
2,G1,YJR127C,96_wellD1,13428.00,1014.37,5.10,3.03,4.70
2,G13,YKL215C,96_wellD4,12906.33,920.14,7.57,4.17,6.80
2,G17,YOR124C,96_wellD5,11436.67,252.06,6.53,3.30,6.03
2,G21,YBL007C,96_wellD6,9910.33,127.99,18.17,8.87,16.93
2,G5,YDR301W,96_wellD2,18178.33,640.87,5.57,3.90,5.07
2,G9,YDR216W,96_wellD3,13941.00,677.65,5.83,3.47,5.17
2,H1,YNL257C,96_wellD7,7610.33,34.95,6.27,3.43,5.60
2,H13,YGL062W,96_wellD10,10004.33,2284.53,18.03,9.80,16.07
2,H17,YLR032W,96_wellD11,14056.33,826.40,5.07,2.53,4.63
2,H21,YLR410W,96_wellD12,12124.00,2467.65,10.80,6.10,9.50
2,H5,YLR084C,96_wellD8,10781.00,1920.81,6.63,3.83,5.93
