ORF,Gene,SWAT GFP localization,mCherry localization,Seamless GFP localization,"C' GFP localization (Won-Ki H. et. al. 2003)",SWAT GFP intensity median (a.u.),Seamless GFP intensity median (a.u.),Library tybe
YBR080C,SEC18,"cytosol,punctate","cytosol,punctate",punctate,"punctate,punctate",115.1,32.4,SWAT-GFP
YBR086C,IST2,cell periphery,cell periphery,cell periphery,0,75.1,28.3,SWAT-GFP
YBR090C,YBR090C,punctate,ambigous,below threshold,"nucleus,cytosol",18.7,9.3,SWAT-GFP
YBR092C,PHO3,ER,"cytosol,ER",below threshold,vacuole,52.3,12.2,SWAT-SP-GFP
YBR093C,PHO5,"cell periphery,ER","cell periphery,vacuole",below threshold,vacuole,59.1,12.8,SWAT-SP-GFP
YBR096W,YBR096W,punctate,punctate,punctate,ER,125.0,34.0,SWAT-GFP
YBR097W,VPS15,"punctate,vacuole membrane","punctate,vacuole membrane","vacuole membrane,punctate",punctate,26.7,11.2,SWAT-GFP
YBR102C,EXO84,"bud neck,nucleus",0,0,"ambiguous,neck,cell periphery,bud,bud neck",N/D,N/D,SWAT-GFP
YBR105C,VID24,cytosol,cytosol,cytosol,"nucleus,cytosol",25.2,10.9,SWAT-GFP
YBR106W,PHO88,ER,ER,ER,ER,165.8,16.8,SWAT-GFP
YBR109C,CMD1,"bud,bud neck","bud,bud neck","cell periphery,punctate,bud neck","neck,cell periphery,bud,bud neck",216.9,78.1,SWAT-GFP
YBR110W,ALG1,punctate,punctate,punctate,ER,48.4,12.2,SWAT-GFP
YBR126W-A,YBR126W-A,ER,ER,ER,0,71.1,34.5,SWAT-GFP
YBR127C,VMA2,"vacuole membrane,punctate","vacuole membrane,punctate","vacuole membrane,punctate",vacuole membrane,389.4,116.6,SWAT-GFP
YBR128C,ATG14,"ER,punctate","vacuole,punctate","ambigous,punctate",below threshold,19.2,10.5,SWAT-GFP
YBR131W,CCZ1,"cytosol,punctate","cytosol,punctate",punctate,punctate,33.9,9.7,SWAT-GFP
YBR132C,AGP2,ER,"ER,vacuole",below threshold,ER,35.2,10.7,SWAT-GFP
YBR139W,YBR139W,vacuole,vacuole,vacuole,vacuole,71.0,21.9,SWAT-SP-GFP
YBR147W,RTC2,below threshold,below threshold,below threshold,cytosol,14.1,9.1,SWAT-GFP
YBR150C,TBS1,nucleus,nucleus,below threshold,"nucleus,cytosol",27.0,12.6,SWAT-GFP
YBR159W,IFA38,punctate,punctate,punctate,ER,112.8,108.5,SWAT-GFP
YBR160W,CDC28,nucleus,cytosol,below threshold,"nucleus,cytosol",97.0,8.2,SWAT-GFP
YBR161W,CSH1,"punctate,vacuole","punctate,vacuole",below threshold,vacuole,8.5,10.1,SWAT-GFP
YBR162C,TOS1,"cell periphery,ER","cell periphery,vacuole",cytosol,vacuole,94.2,82.9,SWAT-SP-GFP
YBR162W-A,YSY6,ER,ER,ER,ER,124.4,21.5,SWAT-GFP
YBR164C,ARL1,cytosol,cytosol,cytosol,"punctate,punctate",177.5,42.3,SWAT-GFP
YBR168W,PEX32,punctate,0,punctate,punctate,18.8,12.2,SWAT-GFP
YBR170C,NPL4,nucleus,0,nucleus,"nucleus,cytosol",98.7,24.8,SWAT-GFP
YBR171W,SEC66,"cell periphery,ER,punctate","cell periphery,ER,punctate",ER,ER,53.9,27.3,SWAT-GFP
YBR172C,SMY2,cytosol,cytosol,cytosol,cytosol,44.1,20.9,SWAT-GFP
YBR179C,FZO1,mitochondria,0,0,mitochondria,N/D,N/D,SWAT-GFP
YBR180W,DTR1,cell periphery,"cell periphery,vacuole",below threshold,0,70.4,9.4,SWAT-GFP
YBR183W,YPC1,ER,ER,below threshold,below threshold,27.7,9.6,SWAT-GFP
YBR187W,GDT1,punctate,vacuole,below threshold,vacuole,114.8,11.2,SWAT-SP-GFP
YBR199W,KTR4,vacuole,vacuole,vacuole,vacuole,47.1,21.9,SWAT-GFP
YBR201C-A,YBR201C-A,below threshold,below threshold,below threshold,0,12.7,9.0,SWAT-GFP
YBR201W,DER1,below threshold,below threshold,below threshold,below threshold,12.2,9.6,SWAT-GFP
YBR204C,LDH1,ER,ER,below threshold,cytosol,62.4,11.1,SWAT-GFP
YBR205W,KTR3,"punctate,vacuole","punctate,vacuole","punctate,vacuole",vacuole,61.0,15.2,SWAT-GFP
YBR207W,FTH1,ER,ER,ER,vacuole membrane,28.9,12.3,SWAT-GFP
YBR210W,ERV15,ER,"ER,vacuole",below threshold,cytosol,29.4,10.0,SWAT-GFP
YBR214W,SDS24,cytosol,0,cytosol,cytosol,85.2,8.4,SWAT-GFP
YBR217W,ATG12,cytosol,cytosol,below threshold,below threshold,53.4,11.7,SWAT-GFP
YBR219C,YBR219C,below threshold,below threshold,punctate,below threshold,15.8,13.7,SWAT-GFP
YBR220C,YBR220C,punctate,vacuole,ambigous,below threshold,28.9,10.2,SWAT-GFP
YBR222C,PCS60,punctate,punctate,punctate,cytosol,118.2,16.1,SWAT-GFP
YBR229C,ROT2,ER,ER,ER,below threshold,123.2,23.6,SWAT-SP-GFP
YBR230C,OM14,cytosol,0,0,mitochondria,N/D,N/D,SWAT-GFP
YBR235W,VHC1,vacuole membrane,vacuole membrane,vacuole membrane,ambiguous,44.5,11.4,SWAT-GFP
YBR241C,YBR241C,vacuole membrane,vacuole membrane,vacuole membrane,vacuole membrane,96.5,12.1,SWAT-GFP
YBR243C,ALG7,ER,ER,ER,0,81.3,14.1,SWAT-GFP
YBR254C,TRS20,punctate,punctate,punctate,punctate,55.3,15.9,SWAT-GFP
YBR255C-A,YBR255C-A,below threshold,below threshold,below threshold,0,15.3,9.1,SWAT-GFP
YBR255W,MTC4,punctate,punctate,below threshold,punctate,30.2,9.8,SWAT-GFP
YBR264C,YPT10,vacuole membrane,vacuole membrane,"ambigous,vacuole membrane",cytosol,61.3,14.5,SWAT-GFP
YBR265W,TSC10,"ER,punctate","ER,punctate",ER,ER,57.4,12.8,SWAT-GFP
YBR273C,UBX7,"ER,punctate","ER,punctate",ER,ER,75.1,13.3,SWAT-GFP
YBR283C,SSH1,ER,ER,ER,ER,138.5,23.9,SWAT-GFP
YBR286W,APE3,"ER,vacuole",vacuole,cytosol,ambiguous,95.3,83.7,SWAT-SP-GFP
YBR287W,YBR287W,ER,0,0,ER,N/D,N/D,SWAT-GFP
YBR288C,APM3,punctate,punctate,punctate,"punctate,punctate",46.6,12.8,SWAT-GFP
YBR290W,BSD2,"punctate,vacuole",vacuole,vacuole,"ER,vacuole",25.5,14.6,SWAT-GFP
YBR293W,VBA2,ER,ER,below threshold,below threshold,24.3,9.1,SWAT-GFP
YBR294W,SUL1,ER,0,0,below threshold,N/D,N/D,SWAT-GFP
YBR296C,PHO89,ER,ER,below threshold,ER,30.5,8.6,SWAT-GFP
YBR298C,MAL31,"cell periphery,ER","cell periphery,vacuole",below threshold,below threshold,67.7,9.5,SWAT-GFP
YBR301W,PAU24,cytosol,below threshold,below threshold,below threshold,53.9,8.6,SWAT-GFP
YBR302C,COS2,vacuole,vacuole,below threshold,vacuole,40.6,8.6,SWAT-GFP
YCL001W,RER1,punctate,vacuole,punctate,punctate,80.7,31.8,SWAT-GFP
YCL002C,YCL002C,"cytosol,nucleus","cytosol,nucleus",below threshold,below threshold,21.1,10.1,SWAT-GFP
YCL005W-A,VMA9,vacuole membrane,"cell periphery,vacuole",ambigous,0,27.4,8.6,SWAT-GFP
YCL007C,YCL007C,punctate,0,0,0,N/D,N/D,SWAT-GFP
YCL008C,STP22,"cytosol,punctate","cytosol,punctate","cytosol,punctate",0,34.6,15.7,SWAT-GFP
YCL012C,YCL012C,"ambigous,ER",vacuole,ambigous,0,28.8,16.6,SWAT-SP-GFP
YCL021W-A,YCL021W-A,vacuole,vacuole,below threshold,0,39.7,8.7,SWAT-GFP
YCL025C,AGP1,ER,vacuole,ER,ER,46.2,27.1,SWAT-GFP
YCL027W,FUS1,ER,ER,below threshold,vacuole,19.2,9.5,SWAT-GFP
YCL029C,BIK1,punctate,punctate,punctate,"punctate,punctate",57.4,10.4,SWAT-GFP
YCL034W,LSB5,cytosol,cytosol,cytosol,"nucleus,cytosol",86.2,24.0,SWAT-GFP
YCL038C,ATG22,vacuole membrane,0,0,below threshold,N/D,N/D,SWAT-GFP
YCL043C,PDI1,ER,ER,"ambigous,ER",vacuole,211.2,129.8,SWAT-SP-GFP
YCL045C,EMC1,ER,ER,below threshold,ER,119.4,11.9,SWAT-SP-GFP
YCL048W,SPS22,cytosol,cytosol,below threshold,0,21.1,12.1,SWAT-SP-GFP
YCL048W-A,YCL048W-A,"cell periphery,vacuole","cell periphery,vacuole",below threshold,0,62.9,12.1,SWAT-SP-GFP
YCL049C,YCL049C,ER,vacuole,"ambigous,mitochondria",below threshold,50.3,17.2,SWAT-SP-GFP
YCL052C,PBN1,"ER,punctate","ER,punctate","punctate,bud neck",ER,43.8,12.8,SWAT-GFP
YCL055W,KAR4,cytosol,cytosol,cytosol,"nucleus,cytosol",39.6,12.6,SWAT-GFP
YCL056C,PEX34,punctate,punctate,punctate,punctate,41.1,14.1,SWAT-GFP
YCL058C,FYV5,cytosol,cytosol,below threshold,below threshold,116.9,8.5,SWAT-GFP
YCL063W,VAC17,"cytosol,punctate",vacuole,below threshold,cytosol,25.5,9.9,SWAT-GFP
YCL069W,VBA3,ER,ER,below threshold,below threshold,19.7,8.6,SWAT-GFP
YCL073C,GEX1,cell periphery,"cell periphery,vacuole",ER,below threshold,35.3,N/D,SWAT-GFP
YCR002C,CDC10,bud neck,bud neck,"cell periphery,bud neck","bud neck,cell periphery",106.7,26.4,SWAT-GFP
YCR004C,YCP4,cell periphery,cell periphery,"cell periphery,punctate","cytosol,punctate",237.8,51.6,SWAT-GFP
YCR005C,CIT2,punctate,punctate,punctate,cytosol,15.2,20.2,SWAT-GFP
YCR007C,YCR007C,"cell periphery,vacuole","cell periphery,vacuole",below threshold,below threshold,66.7,8.8,SWAT-GFP
YCR009C,RVS161,"cytosol,punctate","cytosol,punctate",punctate,"cytosol,punctate",152.0,15.0,SWAT-GFP
YCR010C,ADY2,"cell periphery,vacuole",0,0,below threshold,N/D,N/D,SWAT-GFP
YCR011C,ADP1,vacuole,vacuole,vacuole,ER,58.0,17.8,SWAT-SP-GFP
YCR017C,CWH43,ER,ER,below threshold,ER,99.1,10.0,SWAT-GFP
YCR021C,HSP30,ER,ER,below threshold,cell periphery,26.9,9.4,SWAT-GFP
YCR023C,YCR023C,vacuole membrane,0,0,ambiguous,N/D,N/D,SWAT-GFP
YCR024C-B,YCR024C-B,below threshold,below threshold,0,0,N/D,N/D,SWAT-GFP
YCR026C,NPP1,punctate,punctate,punctate,below threshold,34.6,9.4,SWAT-GFP
YCR027C,RHB1,cytosol,cytosol,below threshold,cytosol,60.0,15.1,SWAT-GFP
YCR028C,FEN2,"cell periphery,vacuole","cell periphery,vacuole",below threshold,vacuole,36.6,10.6,SWAT-GFP
YCR032W,BPH1,vacuole membrane,vacuole membrane,below threshold,0,48.5,10.2,SWAT-GFP
YCR034W,ELO2,ER,0,0,ER,N/D,N/D,SWAT-GFP
YCR037C,PHO87,cell periphery,0,cell periphery,ER,47.2,12.8,SWAT-GFP
YCR043C,YCR043C,cytosol,cytosol,"ambigous,punctate",punctate,108.5,14.9,SWAT-GFP
YCR045C,RRT12,ER,vacuole,below threshold,below threshold,38.7,11.7,SWAT-SP-GFP
YCR048W,ARE1,ER,ER,"ambigous,ER",ER,64.8,15.3,SWAT-GFP
YCR067C,SED4,"ER,punctate",0,0,ER,N/D,N/D,SWAT-GFP
YCR068W,ATG15,ER,"ER,vacuole",ambigous,below threshold,42.9,10.8,SWAT-GFP
YCR069W,CPR4,"ER,vacuole,punctate",vacuole,vacuole,vacuole,63.7,16.4,SWAT-SP-GFP
YCR075C,ERS1,below threshold,below threshold,ambigous,below threshold,16.2,9.7,SWAT-GFP
YCR089W,FIG2,cell periphery,cell periphery,below threshold,0,38.1,12.2,SWAT-SP-GFP
YCR094W,CDC50,"ER,punctate","ER,vacuole",punctate,punctate,45.1,13.2,SWAT-GFP
YCR098C,GIT1,"cell periphery,vacuole","cell periphery,vacuole",below threshold,below threshold,72.6,8.4,SWAT-GFP
YCR101C,YCR101C,"ER,vacuole",vacuole,below threshold,below threshold,31.0,11.3,SWAT-SP-GFP
YDL001W,RMD1,vacuole membrane,"ambigous,vacuole membrane",vacuole membrane,cytosol,44.1,14.2,SWAT-GFP
YDL009C,YDL009C,cytosol,cytosol,below threshold,below threshold,102.8,11.6,SWAT-GFP
YDL010W,GRX6,"ER,vacuole",vacuole,below threshold,vacuole,47.1,11.3,SWAT-SP-GFP
YDL012C,YDL012C,"cell periphery,bud","cell periphery,bud,vacuole","cell periphery,bud neck",cell periphery,118.4,62.8,SWAT-GFP
YDL015C,TSC13,"ER,punctate","ER,vacuole","ER,punctate",ER,111.9,39.6,SWAT-GFP
YDL018C,ERP3,ER,ER,"below threshold,punctate",ER,101.6,12.2,SWAT-SP-GFP
YDL019C,OSH2,"cell periphery,punctate","cell periphery,punctate",cell periphery,punctate,89.9,16.1,SWAT-GFP
YDL022C-A,YDL022C-A,cytosol,cytosol,below threshold,0,15.7,12.2,SWAT-GFP
YDL022W,GPD1,punctate,punctate,below threshold,punctate,31.3,15.8,SWAT-GFP
YDL024C,DIA3,"cell periphery,ER","cell periphery,vacuole",below threshold,below threshold,33.8,11.5,SWAT-SP-GFP
YDL027C,MRX9,"ER,punctate","ER,punctate",below threshold,mitochondria,15.0,9.2,SWAT-GFP
YDL035C,GPR1,punctate,0,0,below threshold,N/D,N/D,SWAT-GFP
YDL036C,PUS9,"ambigous,ER",vacuole,nucleus,"nucleus,cytosol",30.0,19.2,SWAT-SP-GFP
YDL046W,NPC2,"vacuole,ER",vacuole,vacuole,vacuole,75.5,20.0,SWAT-SP-GFP
YDL049C,KNH1,"ER,vacuole",vacuole,ambigous,0,39.3,12.5,SWAT-SP-GFP
YDL052C,SLC1,ER,ER,ER,ER,67.1,31.5,SWAT-GFP
YDL054C,MCH1,vacuole membrane,vacuole membrane,vacuole membrane,vacuole membrane,51.7,N/D,SWAT-GFP
YDL058W,USO1,punctate,0,0,punctate,N/D,N/D,SWAT-GFP
YDL065C,PEX19,"cytosol,punctate",cytosol,punctate,cytosol,65.6,14.8,SWAT-GFP
YDL070W,BDF2,"cell periphery,ER,punctate","cell periphery,vacuole",nucleus,"nucleus,cytosol",43.2,28.5,SWAT-SP-GFP
YDL072C,YET3,ER,ER,below threshold,ER,21.7,9.6,SWAT-GFP
YDL077C,VAM6,vacuole membrane,vacuole membrane,vacuole,vacuole,56.5,11.7,SWAT-GFP
YDL078C,MDH3,punctate,punctate,punctate,"nucleus,cytosol",228.8,59.0,SWAT-GFP
YDL089W,NUR1,"punctate,nuclear periphery","punctate,nuclear periphery","punctate,nuclear periphery","ambiguous,nuclear periphery",43.7,10.8,SWAT-GFP
YDL091C,UBX3,"ER,punctate","ER,punctate",punctate,punctate,72.7,14.9,SWAT-GFP
YDL093W,PMT5,ER,"ER,vacuole","below threshold,ER",below threshold,52.1,10.9,SWAT-GFP
YDL095W,PMT1,ER,ER,ER,ER,94.9,32.6,SWAT-GFP
YDL099W,BUG1,punctate,punctate,punctate,"punctate,punctate",63.5,22.4,SWAT-GFP
YDL100C,GET3,cytosol,cytosol,cytosol,ER,294.5,69.5,SWAT-GFP
YDL113C,ATG20,punctate,punctate,punctate,punctate,55.2,11.2,SWAT-GFP
YDL121C,YDL121C,"ER,punctate","ER,vacuole",punctate,ER,82.1,13.9,SWAT-GFP
YDL122W,UBP1,ER,ER,ER,cytosol,44.3,17.8,SWAT-GFP
YDL123W,SNA4,vacuole membrane,vacuole membrane,vacuole membrane,vacuole membrane,46.3,15.2,SWAT-GFP
YDL126C,CDC48,"cytosol,nucleus","cytosol,nucleus","cytosol,nucleus","nucleus,cytosol",229.7,94.6,SWAT-GFP
YDL128W,VCX1,vacuole membrane,vacuole membrane,vacuole membrane,ER,143.1,N/D,SWAT-GFP
YDL130W,RPP1B,"ER,vacuole",vacuole,below threshold,cytosol,32.9,10.7,SWAT-SP-GFP
YDL133W,SRF1,"cell periphery,vacuole","cell periphery,vacuole","below threshold,cell periphery",0,26.4,10.1,SWAT-GFP
YDL135C,RDI1,cytosol,cytosol,below threshold,"nucleus,cytosol",141.0,8.9,SWAT-GFP
YDL137W,ARF2,cytosol,cytosol,cytosol,"punctate,punctate",276.7,12.4,SWAT-GFP
YDL138W,RGT2,cell periphery,"cell periphery,vacuole",below threshold,below threshold,23.8,9.8,SWAT-GFP
YDL142C,CRD1,mitochondria,ER,below threshold,mitochondria,14.5,8.8,SWAT-GFP
YDL144C,YDL144C,ER,vacuole,mitochondria,"nucleus,cytosol",38.3,20.4,SWAT-SP-GFP
YDL145C,COP1,punctate,punctate,punctate,"punctate,punctate",139.2,42.5,SWAT-GFP
YDL146W,LDB17,"punctate,bud neck","punctate,bud neck",below threshold,"ambiguous,neck,cell periphery,bud,cytosol,bud neck",46.1,10.8,SWAT-GFP
YDL149W,ATG9,punctate,punctate,below threshold,0,32.9,11.6,SWAT-GFP
YDL161W,ENT1,"punctate,bud neck","punctate,bud neck","punctate,bud neck",punctate,83.6,22.1,SWAT-GFP
YDL180W,YDL180W,vacuole membrane,vacuole membrane,vacuole,vacuole,45.8,13.2,SWAT-GFP
YDL185W,VMA1,vacuole membrane,vacuole membrane,vacuole membrane,vacuole membrane,273.0,129.0,SWAT-GFP
YDL192W,ARF1,cytosol,cytosol,cytosol,0,311.2,199.1,SWAT-GFP
YDL193W,NUS1,punctate,punctate,"ER,punctate",ER,94.9,28.1,SWAT-GFP
YDL194W,SNF3,cell periphery,"cell periphery,vacuole",below threshold,below threshold,21.9,10.2,SWAT-GFP
YDL195W,SEC31,punctate,0,cytosol,ER to punctate,139.7,16.9,SWAT-GFP
YDL199C,YDL199C,vacuole membrane,vacuole membrane,below threshold,below threshold,37.7,12.2,SWAT-GFP
YDL204W,RTN2,cell periphery,cell periphery,below threshold,ER,N/D,N/D,SWAT-GFP
YDL206W,YDL206W,vacuole membrane,vacuole membrane,below threshold,below threshold,40.6,10.1,SWAT-GFP
YDL210W,UGA4,vacuole membrane,vacuole membrane,ambigous,below threshold,52.2,10.0,SWAT-GFP
YDL211C,YDL211C,cytosol,vacuole,below threshold,vacuole,24.4,9.3,SWAT-GFP
