Gene ID,REF,EtOH  20g/L,EtOH  40g/L,EtOH  60g/L,Osmo 0.2 M (NaCl),Osmo 0.4 M (NaCl),Osmo 0.6 M (NaCl),Temp 33C,Temp 36C,Temp 38C,EtOH20 vs REF,EtOH40 vs REF,EtOH60 vs REF,Osm200 vs REF,Osm400 vs REF,Osm600 vs REF,Temp33 vs REF,Temp36 vs REF,Temp38 vs REF,EtOH20 vs REF,EtOH40 vs REF,EtOH60 vs REF,Osm200 vs REF,Osm400 vs REF,Osm600 vs REF,Temp33 vs REF,Temp36 vs REF,Temp38 vs REF
YAR002C-A,104.9537972,103.083933,105.5663149,125.6236582,108.9906308,102.4144808,100.5807997,104.6018777,97.83502602,101.4820237,0.007807176,-0.002527206,-0.07807328,-0.01639101,0.010636788,0.018483072,0.001458675,0.030503791,0.014609037,0.936549223,0.952245999,0.281193492,0.911027875,0.962120938,0.857738612,0.97194946,0.291828788,0.770922443
YAR002W,86.63474511,84.01692369,90.75644107,135.3829481,110.9707485,98.82576992,82.71878468,84.89917985,96.3407946,80.80093407,0.013325326,-0.020185355,-0.193871865,-0.107516413,-0.057178104,0.020087957,0.008788607,-0.046118122,0.030275721,0.911851535,0.754488276,0.085666038,0.889850727,0.772533256,0.874267474,0.936414424,0.588082713,0.820522209
YAR007C,1162.737235,1238.071642,1142.193657,1208.82601,1138.363351,1118.842187,1205.688789,998.846641,1032.88138,970.6918776,-0.027264196,0.007741836,-0.016882216,0.009200675,0.016712747,-0.015753642,0.065982767,0.051431132,0.078400185,0.729474596,0.814989796,0.611042744,0.924645216,0.905328311,0.577192277,0.233220544,0.255860257,0.107593096
YAR015W,13452.66214,20589.49251,19313.26722,13401.4812,13958.14264,14764.79762,15427.7097,15395.40949,14586.45039,12623.9777,-0.184837407,-0.157047514,0.001655434,-0.016019397,-0.040419263,-0.059493223,-0.05858301,-0.035141384,0.027612016,0.015377749,0.053622788,0.950760489,0.890812551,0.384152218,0.262462715,0.456953405,0.247133329,0.38477792
YAR042W,156.4321454,126.9646292,117.2363512,150.5437761,130.9869543,118.6097651,129.7421464,149.8922044,185.2213497,168.8555837,0.090643253,0.125263708,0.016663196,0.077097957,0.120205556,0.081244923,0.018546955,-0.073365043,-0.033189425,0.375071588,0.277017292,0.833791217,0.850165909,0.628250738,0.412572502,0.881129534,0.648745563,0.728259984
YBL004W,64.02708826,38.07041216,56.90496943,53.68167492,NA,53.07374662,53.0514151,183.9243749,NA,90.97405207,0.225776173,0.051213558,0.076537694,NA,0.081484005,0.081666779,-0.458275537,NA,-0.152553787,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBL007C,124.9646604,130.2319702,108.3884833,146.5774687,115.7612324,108.6796423,116.3629303,115.7733683,145.3892157,119.236685,-0.017930397,0.061804074,-0.069280004,0.033224072,0.060639013,0.030972564,0.033178545,-0.06574498,0.02037732,0.875053622,0.082728781,0.035827003,0.850165909,0.50540604,0.602387245,0.638926524,0.462598315,0.76623945
YBL015W,8994.347611,22951.63433,28561.85031,14018.26399,10784.29061,10587.42997,11040.05506,12315.93824,11975.90217,3538.410372,-0.406843948,-0.501816671,-0.192724566,-0.078821914,-0.070820883,-0.089001571,-0.136497834,-0.124338572,0.405161469,0.015377749,0.007462309,0.176138793,0.850165909,0.608630219,0.258213199,0.361579085,0.384631098,0.059945078
YBL022C,364.4622771,396.0674374,525.3548546,518.3809136,371.9065814,344.1121901,359.8547604,320.7146673,357.5840923,535.9511484,-0.036116554,-0.158800166,-0.152996419,-0.00878128,0.024952527,0.005525332,0.055533762,0.008274394,-0.167472622,0.649453902,0.025286381,0.038003139,0.954304504,0.907790092,0.925049703,0.396831671,0.912742111,0.092311451
YBL024W,1512.687364,1276.356293,1044.062833,1068.354853,1605.417291,1580.020359,1557.734041,1425.264836,1391.589902,1058.373675,0.073777255,0.161022543,0.151033652,-0.025838757,-0.018913504,-0.012744131,0.025853609,0.03623791,0.15511015,0.185514769,0.027410079,0.014598189,0.868656189,0.857936018,0.741914692,0.624870772,0.415560166,0.009158477
